
News_ID,Headline,Description,RIASEC
IN-12,GUESSS Report Reveals 32.5% of Indian College Students are Nascent Entrepreneurs,"A survey by the Global University Entrepreneurial Spirit Students’ Survey (GUESSS) India 2023 reveals that 32.5% of Indian university students are ""nascent entrepreneurs"" actively working on starting a business. The report shows that while 14% plan to become founders immediately after graduation, this figure rises to 31.4% five years later. Indian students exhibit the highest entrepreneurial intent globally, and universities are playing a key role, with 63% of student entrepreneurs accessing university support. This trend is fueled by government initiatives like Startup India and the integration of entrepreneurship into college curricula, fostering a vibrant startup ecosystem.33",E
IN-13,CBSE Invites Students to Participate in New Podcast and Social Media Initiatives,"The Central Board of Secondary Education (CBSE) is launching a nationwide initiative inviting students from Classes IX to XII to contribute to its educational podcasts and social media content. The board aims to create a student-centric dialogue by featuring student voices in short videos, audio clips, and testimonials on academic and personal well-being topics. Participation is voluntary, and schools are asked to nominate articulate and confident students. This initiative is designed to enhance students' communication skills and self-expression while making the board's guidance more relatable and engaging for their peers across the country.29",S
IN-14,"The Commodification of Higher Education in India is on the Rise, Critics Warn","Scholars are raising concerns about the increasing commodification of higher education in India, where learning is often marketed as a premium product guaranteeing a return on investment. Aggressive advertising by private institutions, focusing on rankings and placements, obscures the role of education as a public good that fosters critical thinking and civic engagement. This trend is driven by the underfunding of public universities and a hyper-individualized, utilitarian view of education. Critics argue for a cultural shift to re-emphasize collaboration, dialogue, and the social dimensions of learning, resisting the reduction of universities to mere placement agencies.22",S
IN-15,Indian Design Startups Collaborate with Colleges to Foster Creative Entrepreneurship,"In 2025, India's design ecosystem is being transformed by collaborations between design startups and colleges like NID, NIFT, and IIT Bombay. These partnerships aim to bridge the gap between academic theory and industry practice by providing students with live projects, training on the latest design tools, and direct mentorship from startup founders. Startups like DesignX Studio and CreatiVision Labs are helping to nurture an entrepreneurial mindset among students, turning classrooms into creative hubs. This trend is making design graduates more industry-ready and is boosting creative entrepreneurship by showing students how to build and scale their own design businesses.26",A
IN-16,Demand for Art and Design Courses Surges by 40% in India,"A study by the All India Council for Technical Education (AICTE) reveals a 40% increase in demand for art and design courses in India over the past decade. This reflects a significant shift in career perceptions, with creative fields now seen as viable and dynamic professions. The design industry is highly competitive, with the number of graduates entering the workforce rising by 30% in the last five years. In response, institutions are integrating technology like AI and VR into curricula and adding modules on sustainability and entrepreneurship to prepare students for the modern creative economy.62",A
IN-17,'India's Best Design Students 2025' Awards Recognize Next-Gen Creative Leaders,"The DesignIndia Show has announced the winners of the ""India's Best Design Students 2025"" awards, celebrating emerging talent from top institutions like the National Institute of Design (NID), MIT Institute of Design, and Srishti Manipal. The awards honor students who demonstrate curiosity, skill, and the courage to innovate across disciplines like product design, communication, fashion, and digital experiences. The initiative aims to nurture the next generation of design leaders who can lead with empathy and purpose. The award ceremony will be held on August 23, 2025, in Pune, spotlighting a future for Indian design that is innovative and optimistic.27",A
IN-18,UPL University and University of Oxford Collaborate on Sustainable Development,"UPL University of Sustainable Technology has partnered with the University of Oxford's Oxford India Centre for Sustainable Development (OICSD) to advance knowledge exchange. Under the MoU, UPL faculty will receive training at Oxford on curriculum development and research-based learning. In return, OICSD experts will deliver seminars at UPL University on topics like AI, climate action, and technology innovation. This collaboration aims to empower students and faculty in India to contribute to global sustainability goals, focusing on areas like climate-resilient agriculture and environmental stewardship, and reinforcing a shared commitment to building resilient systems through education.30",S
IN-19,Indian Universities Embrace Sustainability with Green Campus Initiatives,"Universities across India are increasingly adopting sustainability practices, transforming their campuses into models of environmental stewardship. IIT Gandhinagar, for example, has achieved a 5-star GRIHA rating with zero sewage discharge, extensive solar power generation, and buildings made from fly ash bricks. Similarly, Ashoka University generates 0.9 megawatts of solar electricity and hosts a Centre for Climate Change and Sustainability. Other institutions like Amrita Vishwa Vidyapeetham and Azim Premji University are integrating rainwater harvesting, organic composting, and green building designs, blending eco-friendly infrastructure with academic programs focused on environmental science.15",R
IN-20,Azim Premji University Offers Professional Course on Corporate Social Responsibility,"Azim Premji University is conducting a short course for professionals titled ""Strategies for Effective CSR."" The program is designed for individuals with at least two years of experience in Corporate Social Responsibility (CSR) and aims to deepen their understanding of how to align corporate initiatives with social sector needs. The course covers the rationale of CSR, key thematic areas like environment and sustainability, and methods for mapping and measuring the impact of CSR activities. The curriculum is based on Gandhi's philosophy of trusteeship, which views corporations as having a broad social responsibility beyond maximizing shareholder value.31",S
IN-21,UGC Proposes New Draft Regulations for Faculty Appointments and Promotions in 2025,"The University Grants Commission (UGC) has released Draft Regulation-2025, outlining new criteria for faculty appointments, promotions, and service conditions in higher education. The draft proposes significant changes, including allowing faculty appointments in disciplines unrelated to a candidate's PhD to foster interdisciplinarity and capping the tenure of college principals at five years. It also suggests a unified recruitment system with a centralized written exam. The regulations have sparked debate, with concerns raised about the diminished emphasis on subject specialization and the potential for institutional instability due to shorter leadership tenures.64",C
IN-22,New UGC 2025 Guidelines Introduce Flexibility with Multiple Entry/Exit and Biannual Admissions,"The UGC has introduced transformative guidelines for 2025, aligning with the National Education Policy 2020. Key changes include multiple entry and exit options, allowing students to earn a certificate, diploma, or degree after one, two, or three years, respectively. Universities can now offer admissions twice a year, in July/August and January/February. The rules also grant students the freedom to choose any discipline regardless of their previous subjects and to pursue dual degrees simultaneously. These reforms aim to make higher education more accessible, skill-integrated, and learner-centric, supported by the Academic Bank of Credits (ABC) system.48",C
IN-23,Draft UGC Rules on University Leadership Spark Fears of Eroding Academic Independence,"The UGC's Draft Regulations 2025 have generated controversy over changes to the appointment process for Vice-Chancellors (VCs). The new rules would allow individuals with senior-level experience in industry or public administration, not just academics, to be appointed as VCs. Critics argue this could lead to the appointment of political loyalists over academic leaders. Furthermore, the regulations centralize control by giving nominees of the UGC Chairman and the Visitor a dominant role in selection committees for all universities, including state-funded ones. This is seen as a move that could undermine university autonomy and academic freedom.35",C
IN-24,Central University of Tamil Nadu Receives Rs 385 Crore for Infrastructure Development,"The Ministry of Education has sanctioned Rs 385.27 crore for major infrastructure expansion at the Central University of Tamil Nadu (CUTN). The funding, provided through the Higher Education Financing Agency (HEFA), will support the construction of a new academic building, expansion of the administrative building, and the establishment of new hostels for students and research scholars. Additionally, funds are allocated for faculty quarters and a state-of-the-art instrumentation centre equipped with modern scientific instruments. This investment is expected to significantly enhance the university's academic ecosystem, providing modern laboratories and improved residential facilities.66",R
IN-25,Union Minister Inaugurates New Science Building and Fitness Centre at DHSK College,"Union Minister Sarbananda Sonowal inaugurated three new infrastructure projects at DHSK College in Dibrugarh: the Dr. Jogiraj Basu Memorial Science & Technology Building, a safe drinking water plant, and a state-of-the-art fitness centre. The new science building will provide modern laboratories for advanced research and enhance hands-on learning for students. The water plant and fitness centre, funded through the MPLAD Fund, address critical needs for student health and well-being. As an alumnus, Sonowal spoke of the college's transformative impact and urged students to work with dedication for the nation's progress.10",R
